dataSize,cvAcc,time
677,92.1713,0.11
1354,93.4269,0.28
2032,95.0787,0.41
2709,95.1274,0.44
3386,95.6881,0.80
4064,94.9803,0.67
4741,95.5916,1.07
5419,95.3681,1.20
6096,95.7513,1.36
6773,95.9102,1.27
7451,95.4905,1.20
8128,95.7308,1.66
8806,95.6393,1.86
9483,95.5921,1.52
10160,96.2008,1.93
10838,96.2078,2.09
11515,96.2744,2.19
12193,96.0469,2.49
12870,96.3248,2.55
13547,96.2649,2.61
14225,96.2179,2.80
14902,96.3562,2.76
15580,96.611,2.99
16257,96.4016,3.40
16934,96.3919,3.26
17612,96.3604,3.29
18289,96.435,3.49
18967,96.7259,3.67
19644,96.5791,3.71
20321,96.4667,3.91
20999,96.3855,3.91
21676,96.5722,3.46
22354,96.466,3.57
23031,96.6393,4.31
23708,96.6467,4.13
24386,96.6948,4.40
25063,96.6883,4.55
25741,96.4259,4.60
26418,96.7636,4.82
27095,96.7485,4.67
27773,96.8207,4.92
28450,96.6327,4.88
29128,96.7282,4.72
29805,96.7757,5.23
30482,96.9556,5.60
31160,96.7362,5.08
31837,96.7177,5.18
32515,96.863,5.03
33192,96.8004,5.69
33869,96.9973,5.36
34547,96.842,5.72
35224,96.8856,5.56
35902,96.8915,5.72
36579,96.9436,5.95
37256,96.8596,5.77
37934,96.8709,6.45
38611,97.0941,6.28
39289,96.9992,6.43
39966,96.8473,6.90
40643,96.9712,6.36
41321,96.7571,6.36
41998,97.0189,7.05
42676,96.8812,6.96
43353,96.9621,6.48
44030,96.8749,6.49
44708,97.0184,7.02
45385,96.9241,7.24
46063,96.9759,7.93
46740,97.1352,7.04
47417,96.8724,7.54
48095,96.9643,7.42
48772,97.0598,8.17
49450,96.9929,7.45
50127,97.1413,7.81
50804,96.9924,8.03
51482,97.1679,7.55
52159,96.8999,8.18
52837,96.9605,7.98
53514,97.0456,7.75
54191,97.0807,8.20
54869,97.0293,8.98
55546,97.0457,8.64
56224,97.0973,8.17
56901,97.0932,7.95
57578,97.1065,8.78
58256,97.1333,8.68
58933,97.1561,9.44
