featureSize,sampleSize,testAcc,time
472,6072,88.954700,4.98
944,6072,88.954700,9.99
1416,6072,88.954700,15.36
1888,6072,88.954700,19.82
2360,6072,88.954700,24.67
2832,6072,88.954700,29.54
3304,6072,88.954700,35.19
3776,6072,88.954700,39.25
4248,6072,88.954700,46.28
4720,6072,88.954700,49.48
5192,6072,88.954700,54.38
5664,6072,88.954700,60.88
6136,6072,88.954700,69.40
6608,6072,88.954700,69.15
7080,6072,88.954700,73.89
7552,6072,88.954700,78.77
8024,6072,88.954700,87.95
8496,6072,88.954700,95.51
8968,6072,88.954700,99.68
9440,6072,88.954700,107.55
9912,6072,88.954700,112.18
10384,6072,88.954700,114.96
10856,6072,88.954700,118.81
11328,6072,88.954700,127.64
11800,6072,88.954700,127.11
12272,6072,88.954700,136.54
12744,6072,88.954700,134.77
13216,6072,88.954700,152.22
13688,6072,88.954700,144.39
14160,6072,88.954700,150.82
14632,6072,88.954700,158.50
15104,6072,88.954700,163.78
15576,6072,88.954700,162.43
16048,6072,88.954700,167.41
16520,6072,88.954700,342.26
16992,6072,88.954700,364.64
17464,6072,88.954700,380.96
17936,6072,88.954700,366.57
18408,6072,88.954700,419.19
18880,6072,88.954700,394.95
19352,6072,88.954700,468.43
19824,6072,88.954700,441.87
20296,6072,88.954700,499.33
20768,6072,88.954700,414.63
21240,6072,88.954700,483.99
21712,6072,88.954700,445.15
22184,6072,88.954700,464.64
22656,6072,88.954700,444.55
23128,6072,88.954700,482.41
23600,6072,88.954700,465.76
24072,6072,88.954700,698.69
24544,6072,88.954700,759.19
25016,6072,88.954700,526.56
25488,6072,88.954700,528.20
25960,6072,88.954700,578.66
26432,6072,89.350300,554.95
26904,6072,89.350300,535.19
27376,6072,89.350300,748.71
27848,6072,89.350300,651.21
28320,6072,89.350300,646.96
28792,6072,89.350300,753.94
29264,6072,89.350300,733.83
29736,6072,89.350300,673.43
30208,6072,89.350300,704.19
30680,6072,89.350300,714.63
31152,6072,89.350300,715.75
31624,6072,89.350300,699.29
32096,6072,89.350300,618.76
32568,6072,89.350300,637.86
33040,6072,89.350300,592.20
33512,6072,89.350300,551.84
33984,6072,89.350300,631.60
