featureSize,sampleSize,testAcc,time
472,6072,93.7791,0.07
944,6072,94.3843,0.10
1416,6072,94.7888,0.12
1888,6072,94.8036,0.14
2360,6072,94.9999,0.15
2832,6072,95.1653,0.16
3304,6072,95.0044,0.16
3776,6072,95.0427,0.17
4248,6072,95.028,0.18
4720,6072,95.0929,0.18
5192,6072,95.2627,0.19
5664,6072,95.2952,0.19
6136,6072,95.2863,0.19
6608,6072,95.2863,0.20
7080,6072,95.2361,0.20
7552,6072,95.2287,0.21
8024,6072,95.2125,0.22
8496,6072,95.2332,0.28
8968,6072,95.2863,0.25
9440,6072,95.2125,0.22
9912,6072,95.2332,0.23
10384,6072,95.304,0.24
10856,6072,95.3173,0.25
11328,6072,95.3675,0.24
11800,6072,95.3719,0.24
12272,6072,95.3439,0.24
12744,6072,95.3483,0.20
13216,6072,95.3572,0.22
13688,6072,95.3321,0.26
14160,6072,95.3203,0.24
14632,6072,95.118,0.27
15104,6072,95.2863,0.24
15576,6072,95.4384,0.23
16048,6072,95.2952,0.24
16520,6072,95.3085,0.24
16992,6072,95.2981,0.25
17464,6072,95.3129,0.26
17936,6072,95.3306,0.27
18408,6072,95.3513,0.28
18880,6072,95.3439,0.26
19352,6072,95.3572,0.23
19824,6072,95.3601,0.24
20296,6072,95.3616,0.25
20768,6072,95.3631,0.23
21240,6072,95.3572,0.22
21712,6072,95.3557,0.24
22184,6072,95.3572,0.23
22656,6072,95.3601,0.25
23128,6072,95.3616,0.24
23600,6072,95.2524,0.28
24072,6072,95.4133,0.28
24544,6072,95.3985,0.28
25016,6072,95.4207,0.25
25488,6072,95.4148,0.25
25960,6072,95.4915,0.26
26432,6072,95.4428,0.25
26904,6072,95.2878,0.32
27376,6072,95.4236,0.61
27848,6072,95.4236,0.63
28320,6072,95.4236,0.51
28792,6072,95.4236,0.55
29264,6072,95.4236,0.52
29736,6072,95.4236,0.47
30208,6072,95.4236,0.52
30680,6072,95.4236,0.56
31152,6072,95.4236,0.56
31624,6072,95.4236,0.53
32096,6072,95.4236,0.58
32568,6072,95.4236,0.42
33040,6072,95.4236,0.41
33512,6072,95.4236,0.39
33984,6072,95.4236,0.34
