featureSize,sampleSize,testAcc,time
472,6072,87.24,6.44
944,6072,87.24,9.24
1416,6072,87.24,11.51
1888,6072,87.24,13.43
2360,6072,87.24,15.18
2832,6072,87.24,16.84
3304,6072,87.24,18.23
3776,6072,87.24,19.61
4248,6072,87.24,21.33
4720,6072,87.24,22.74
5192,6072,87.24,24.02
5664,6072,87.24,24.91
6136,6072,87.24,26.53
6608,6072,87.24,27.87
7080,6072,87.24,29.12
7552,6072,87.24,30.51
8024,6072,87.24,33.46
8496,6072,87.24,36.04
8968,6072,87.24,34.58
9440,6072,87.24,37.36
9912,6072,87.24,37.25
10384,6072,87.24,39.98
10856,6072,87.24,42.81
11328,6072,87.24,41.24
11800,6072,87.24,42.47
12272,6072,87.24,42.95
12744,6072,87.24,44.05
13216,6072,87.24,46.35
13688,6072,87.24,46.59
14160,6072,87.24,46.77
14632,6072,87.24,48.36
15104,6072,87.24,49.03
15576,6072,87.24,50.18
16048,6072,87.24,51.19
16520,6072,87.24,52.52
16992,6072,87.24,58.58
17464,6072,87.24,56.37
17936,6072,87.24,58.40
18408,6072,87.24,57.25
18880,6072,87.24,58.17
19352,6072,87.24,62.63
19824,6072,87.24,61.99
20296,6072,87.24,61.31
20768,6072,87.24,62.06
21240,6072,87.24,63.66
21712,6072,87.24,65.32
22184,6072,87.24,66.28
22656,6072,87.24,66.39
23128,6072,87.24,67.81
23600,6072,87.24,70.25
24072,6072,87.24,69.94
24544,6072,87.24,71.21
25016,6072,87.24,72.40
25488,6072,87.24,73.59
25960,6072,87.24,74.76
26432,6072,87.34,76.49
26904,6072,87.34,77.35
27376,6072,87.34,92.87
27848,6072,87.34,87.73
28320,6072,87.34,86.74
28792,6072,87.34,93.93
29264,6072,87.34,94.29
29736,6072,87.34,90.31
30208,6072,87.34,90.82
30680,6072,87.34,87.35
31152,6072,87.34,93.61
31624,6072,87.34,88.91
32096,6072,87.34,89.08
32568,6072,87.34,85.08
33040,6072,87.34,86.73
33512,6072,87.34,83.11
