% MNIST - USPS dataset The database consists of 16x16 images of hand-written
% digits.

@RELATION usps

%  256 (= 16x16 pixels)
@ATTRIBUTE (0;0)  NUMERIC
@ATTRIBUTE (0;1)  NUMERIC
@ATTRIBUTE (0;2)  NUMERIC
@ATTRIBUTE (0;3)  NUMERIC
@ATTRIBUTE (0;4)  NUMERIC
@ATTRIBUTE (0;5)  NUMERIC
@ATTRIBUTE (0;6)  NUMERIC
@ATTRIBUTE (0;7)  NUMERIC
@ATTRIBUTE (0;8)  NUMERIC
@ATTRIBUTE (0;9)  NUMERIC
@ATTRIBUTE (0;10)  NUMERIC
@ATTRIBUTE (0;11)  NUMERIC
@ATTRIBUTE (0;12)  NUMERIC
@ATTRIBUTE (0;13)  NUMERIC
@ATTRIBUTE (0;14)  NUMERIC
@ATTRIBUTE (0;15)  NUMERIC
@ATTRIBUTE (1;0)  NUMERIC
@ATTRIBUTE (1;1)  NUMERIC
@ATTRIBUTE (1;2)  NUMERIC
@ATTRIBUTE (1;3)  NUMERIC
@ATTRIBUTE (1;4)  NUMERIC
@ATTRIBUTE (1;5)  NUMERIC
@ATTRIBUTE (1;6)  NUMERIC
@ATTRIBUTE (1;7)  NUMERIC
@ATTRIBUTE (1;8)  NUMERIC
@ATTRIBUTE (1;9)  NUMERIC
@ATTRIBUTE (1;10)  NUMERIC
@ATTRIBUTE (1;11)  NUMERIC
@ATTRIBUTE (1;12)  NUMERIC
@ATTRIBUTE (1;13)  NUMERIC
@ATTRIBUTE (1;14)  NUMERIC
@ATTRIBUTE (1;15)  NUMERIC
@ATTRIBUTE (2;0)  NUMERIC
@ATTRIBUTE (2;1)  NUMERIC
@ATTRIBUTE (2;2)  NUMERIC
@ATTRIBUTE (2;3)  NUMERIC
@ATTRIBUTE (2;4)  NUMERIC
@ATTRIBUTE (2;5)  NUMERIC
@ATTRIBUTE (2;6)  NUMERIC
@ATTRIBUTE (2;7)  NUMERIC
@ATTRIBUTE (2;8)  NUMERIC
@ATTRIBUTE (2;9)  NUMERIC
@ATTRIBUTE (2;10)  NUMERIC
@ATTRIBUTE (2;11)  NUMERIC
@ATTRIBUTE (2;12)  NUMERIC
@ATTRIBUTE (2;13)  NUMERIC
@ATTRIBUTE (2;14)  NUMERIC
@ATTRIBUTE (2;15)  NUMERIC
@ATTRIBUTE (3;0)  NUMERIC
@ATTRIBUTE (3;1)  NUMERIC
@ATTRIBUTE (3;2)  NUMERIC
@ATTRIBUTE (3;3)  NUMERIC
@ATTRIBUTE (3;4)  NUMERIC
@ATTRIBUTE (3;5)  NUMERIC
@ATTRIBUTE (3;6)  NUMERIC
@ATTRIBUTE (3;7)  NUMERIC
@ATTRIBUTE (3;8)  NUMERIC
@ATTRIBUTE (3;9)  NUMERIC
@ATTRIBUTE (3;10)  NUMERIC
@ATTRIBUTE (3;11)  NUMERIC
@ATTRIBUTE (3;12)  NUMERIC
@ATTRIBUTE (3;13)  NUMERIC
@ATTRIBUTE (3;14)  NUMERIC
@ATTRIBUTE (3;15)  NUMERIC
@ATTRIBUTE (4;0)  NUMERIC
@ATTRIBUTE (4;1)  NUMERIC
@ATTRIBUTE (4;2)  NUMERIC
@ATTRIBUTE (4;3)  NUMERIC
@ATTRIBUTE (4;4)  NUMERIC
@ATTRIBUTE (4;5)  NUMERIC
@ATTRIBUTE (4;6)  NUMERIC
@ATTRIBUTE (4;7)  NUMERIC
@ATTRIBUTE (4;8)  NUMERIC
@ATTRIBUTE (4;9)  NUMERIC
@ATTRIBUTE (4;10)  NUMERIC
@ATTRIBUTE (4;11)  NUMERIC
@ATTRIBUTE (4;12)  NUMERIC
@ATTRIBUTE (4;13)  NUMERIC
@ATTRIBUTE (4;14)  NUMERIC
@ATTRIBUTE (4;15)  NUMERIC
@ATTRIBUTE (5;0)  NUMERIC
@ATTRIBUTE (5;1)  NUMERIC
@ATTRIBUTE (5;2)  NUMERIC
@ATTRIBUTE (5;3)  NUMERIC
@ATTRIBUTE (5;4)  NUMERIC
@ATTRIBUTE (5;5)  NUMERIC
@ATTRIBUTE (5;6)  NUMERIC
@ATTRIBUTE (5;7)  NUMERIC
@ATTRIBUTE (5;8)  NUMERIC
@ATTRIBUTE (5;9)  NUMERIC
@ATTRIBUTE (5;10)  NUMERIC
@ATTRIBUTE (5;11)  NUMERIC
@ATTRIBUTE (5;12)  NUMERIC
@ATTRIBUTE (5;13)  NUMERIC
@ATTRIBUTE (5;14)  NUMERIC
@ATTRIBUTE (5;15)  NUMERIC
@ATTRIBUTE (6;0)  NUMERIC
@ATTRIBUTE (6;1)  NUMERIC
@ATTRIBUTE (6;2)  NUMERIC
@ATTRIBUTE (6;3)  NUMERIC
@ATTRIBUTE (6;4)  NUMERIC
@ATTRIBUTE (6;5)  NUMERIC
@ATTRIBUTE (6;6)  NUMERIC
@ATTRIBUTE (6;7)  NUMERIC
@ATTRIBUTE (6;8)  NUMERIC
@ATTRIBUTE (6;9)  NUMERIC
@ATTRIBUTE (6;10)  NUMERIC
@ATTRIBUTE (6;11)  NUMERIC
@ATTRIBUTE (6;12)  NUMERIC
@ATTRIBUTE (6;13)  NUMERIC
@ATTRIBUTE (6;14)  NUMERIC
@ATTRIBUTE (6;15)  NUMERIC
@ATTRIBUTE (7;0)  NUMERIC
@ATTRIBUTE (7;1)  NUMERIC
@ATTRIBUTE (7;2)  NUMERIC
@ATTRIBUTE (7;3)  NUMERIC
@ATTRIBUTE (7;4)  NUMERIC
@ATTRIBUTE (7;5)  NUMERIC
@ATTRIBUTE (7;6)  NUMERIC
@ATTRIBUTE (7;7)  NUMERIC
@ATTRIBUTE (7;8)  NUMERIC
@ATTRIBUTE (7;9)  NUMERIC
@ATTRIBUTE (7;10)  NUMERIC
@ATTRIBUTE (7;11)  NUMERIC
@ATTRIBUTE (7;12)  NUMERIC
@ATTRIBUTE (7;13)  NUMERIC
@ATTRIBUTE (7;14)  NUMERIC
@ATTRIBUTE (7;15)  NUMERIC
@ATTRIBUTE (8;0)  NUMERIC
@ATTRIBUTE (8;1)  NUMERIC
@ATTRIBUTE (8;2)  NUMERIC
@ATTRIBUTE (8;3)  NUMERIC
@ATTRIBUTE (8;4)  NUMERIC
@ATTRIBUTE (8;5)  NUMERIC
@ATTRIBUTE (8;6)  NUMERIC
@ATTRIBUTE (8;7)  NUMERIC
@ATTRIBUTE (8;8)  NUMERIC
@ATTRIBUTE (8;9)  NUMERIC
@ATTRIBUTE (8;10)  NUMERIC
@ATTRIBUTE (8;11)  NUMERIC
@ATTRIBUTE (8;12)  NUMERIC
@ATTRIBUTE (8;13)  NUMERIC
@ATTRIBUTE (8;14)  NUMERIC
@ATTRIBUTE (8;15)  NUMERIC
@ATTRIBUTE (9;0)  NUMERIC
@ATTRIBUTE (9;1)  NUMERIC
@ATTRIBUTE (9;2)  NUMERIC
@ATTRIBUTE (9;3)  NUMERIC
@ATTRIBUTE (9;4)  NUMERIC
@ATTRIBUTE (9;5)  NUMERIC
@ATTRIBUTE (9;6)  NUMERIC
@ATTRIBUTE (9;7)  NUMERIC
@ATTRIBUTE (9;8)  NUMERIC
@ATTRIBUTE (9;9)  NUMERIC
@ATTRIBUTE (9;10)  NUMERIC
@ATTRIBUTE (9;11)  NUMERIC
@ATTRIBUTE (9;12)  NUMERIC
@ATTRIBUTE (9;13)  NUMERIC
@ATTRIBUTE (9;14)  NUMERIC
@ATTRIBUTE (9;15)  NUMERIC
@ATTRIBUTE (10;0)  NUMERIC
@ATTRIBUTE (10;1)  NUMERIC
@ATTRIBUTE (10;2)  NUMERIC
@ATTRIBUTE (10;3)  NUMERIC
@ATTRIBUTE (10;4)  NUMERIC
@ATTRIBUTE (10;5)  NUMERIC
@ATTRIBUTE (10;6)  NUMERIC
@ATTRIBUTE (10;7)  NUMERIC
@ATTRIBUTE (10;8)  NUMERIC
@ATTRIBUTE (10;9)  NUMERIC
@ATTRIBUTE (10;10)  NUMERIC
@ATTRIBUTE (10;11)  NUMERIC
@ATTRIBUTE (10;12)  NUMERIC
@ATTRIBUTE (10;13)  NUMERIC
@ATTRIBUTE (10;14)  NUMERIC
@ATTRIBUTE (10;15)  NUMERIC
@ATTRIBUTE (11;0)  NUMERIC
@ATTRIBUTE (11;1)  NUMERIC
@ATTRIBUTE (11;2)  NUMERIC
@ATTRIBUTE (11;3)  NUMERIC
@ATTRIBUTE (11;4)  NUMERIC
@ATTRIBUTE (11;5)  NUMERIC
@ATTRIBUTE (11;6)  NUMERIC
@ATTRIBUTE (11;7)  NUMERIC
@ATTRIBUTE (11;8)  NUMERIC
@ATTRIBUTE (11;9)  NUMERIC
@ATTRIBUTE (11;10)  NUMERIC
@ATTRIBUTE (11;11)  NUMERIC
@ATTRIBUTE (11;12)  NUMERIC
@ATTRIBUTE (11;13)  NUMERIC
@ATTRIBUTE (11;14)  NUMERIC
@ATTRIBUTE (11;15)  NUMERIC
@ATTRIBUTE (12;0)  NUMERIC
@ATTRIBUTE (12;1)  NUMERIC
@ATTRIBUTE (12;2)  NUMERIC
@ATTRIBUTE (12;3)  NUMERIC
@ATTRIBUTE (12;4)  NUMERIC
@ATTRIBUTE (12;5)  NUMERIC
@ATTRIBUTE (12;6)  NUMERIC
@ATTRIBUTE (12;7)  NUMERIC
@ATTRIBUTE (12;8)  NUMERIC
@ATTRIBUTE (12;9)  NUMERIC
@ATTRIBUTE (12;10)  NUMERIC
@ATTRIBUTE (12;11)  NUMERIC
@ATTRIBUTE (12;12)  NUMERIC
@ATTRIBUTE (12;13)  NUMERIC
@ATTRIBUTE (12;14)  NUMERIC
@ATTRIBUTE (12;15)  NUMERIC
@ATTRIBUTE (13;0)  NUMERIC
@ATTRIBUTE (13;1)  NUMERIC
@ATTRIBUTE (13;2)  NUMERIC
@ATTRIBUTE (13;3)  NUMERIC
@ATTRIBUTE (13;4)  NUMERIC
@ATTRIBUTE (13;5)  NUMERIC
@ATTRIBUTE (13;6)  NUMERIC
@ATTRIBUTE (13;7)  NUMERIC
@ATTRIBUTE (13;8)  NUMERIC
@ATTRIBUTE (13;9)  NUMERIC
@ATTRIBUTE (13;10)  NUMERIC
@ATTRIBUTE (13;11)  NUMERIC
@ATTRIBUTE (13;12)  NUMERIC
@ATTRIBUTE (13;13)  NUMERIC
@ATTRIBUTE (13;14)  NUMERIC
@ATTRIBUTE (13;15)  NUMERIC
@ATTRIBUTE (14;0)  NUMERIC
@ATTRIBUTE (14;1)  NUMERIC
@ATTRIBUTE (14;2)  NUMERIC
@ATTRIBUTE (14;3)  NUMERIC
@ATTRIBUTE (14;4)  NUMERIC
@ATTRIBUTE (14;5)  NUMERIC
@ATTRIBUTE (14;6)  NUMERIC
@ATTRIBUTE (14;7)  NUMERIC
@ATTRIBUTE (14;8)  NUMERIC
@ATTRIBUTE (14;9)  NUMERIC
@ATTRIBUTE (14;10)  NUMERIC
@ATTRIBUTE (14;11)  NUMERIC
@ATTRIBUTE (14;12)  NUMERIC
@ATTRIBUTE (14;13)  NUMERIC
@ATTRIBUTE (14;14)  NUMERIC
@ATTRIBUTE (14;15)  NUMERIC
@ATTRIBUTE (15;0)  NUMERIC
@ATTRIBUTE (15;1)  NUMERIC
@ATTRIBUTE (15;2)  NUMERIC
@ATTRIBUTE (15;3)  NUMERIC
@ATTRIBUTE (15;4)  NUMERIC
@ATTRIBUTE (15;5)  NUMERIC
@ATTRIBUTE (15;6)  NUMERIC
@ATTRIBUTE (15;7)  NUMERIC
@ATTRIBUTE (15;8)  NUMERIC
@ATTRIBUTE (15;9)  NUMERIC
@ATTRIBUTE (15;10)  NUMERIC
@ATTRIBUTE (15;11)  NUMERIC
@ATTRIBUTE (15;12)  NUMERIC
@ATTRIBUTE (15;13)  NUMERIC
@ATTRIBUTE (15;14)  NUMERIC
@ATTRIBUTE (15;15)  NUMERIC
@ATTRIBUTE class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}

@DATA
0,0,0,3,21,72,163,291,444,609,744,821,849,854,854,854,0,0,3,29,126,327,604,922,1261,1612,1931,2171,2292,2323,2326,2326,0,2,25,133,393,787,1232,1671,2097,2527,2954,3362,3642,3745,3762,3763,1,14,101,368,816,1342,1855,2326,2768,3216,3698,4243,4716,4951,5003,5006,3,46,253,711,1303,1884,2410,2884,3330,3807,4385,5101,5791,6189,6288,6294,6,96,462,1110,1793,2393,2922,3400,3865,4420,5175,6115,7016,7549,7686,7695,9,149,681,1509,2262,2878,3427,3944,4487,5192,6168,7328,8377,8974,9125,9135,12,192,863,1868,2727,3417,4063,4715,5439,6366,7574,8908,10031,10645,10798,10808,13,215,977,2149,3192,4068,4908,5758,6695,7861,9284,10735,11888,12505,12658,12668,13,221,1016,2277,3462,4503,5504,6496,7599,8985,10596,12121,13286,13904,14057,14067,13,222,1022,2303,3527,4617,5666,6725,7977,9573,11340,12912,14081,14699,14852,14862,13,222,1022,2304,3531,4624,5680,6793,8215,10018,11908,13510,14681,15299,15452,15462,13,222,1022,2304,3531,4624,5689,6871,8483,10485,12464,14082,15254,15872,16025,16035,13,222,1022,2304,3531,4625,5704,6970,8778,10965,13008,14633,15805,16423,16576,16586,13,222,1022,2304,3531,4626,5720,7069,9061,11417,13513,15142,16314,16932,17085,17095,13,222,1022,2304,3531,4626,5727,7125,9241,11718,13853,15485,16657,17275,17428,17438,9
0,0,0,0,3,9,12,13,13,13,13,13,13,13,13,13,0,0,1,7,37,88,116,122,122,122,122,122,122,122,122,122,0,0,7,48,175,350,441,459,460,460,460,460,460,460,460,460,0,3,35,170,465,785,928,953,954,954,954,954,954,954,954,954,1,16,114,405,878,1298,1465,1492,1493,1493,1493,1494,1496,1499,1502,1503,6,62,286,756,1357,1821,1995,2022,2023,2024,2029,2048,2087,2138,2185,2209,27,177,576,1200,1865,2341,2516,2543,2547,2560,2602,2705,2880,3095,3295,3410,78,384,971,1697,2387,2865,3041,3073,3102,3182,3344,3616,3979,4390,4795,5062,165,656,1406,2189,2886,3365,3545,3606,3727,3968,4315,4751,5232,5762,6346,6772,297,980,1852,2666,3365,3845,4042,4183,4473,4905,5392,5906,6452,7099,7858,8408,458,1333,2300,3135,3838,4323,4558,4834,5323,5908,6475,7054,7713,8531,9447,10067,598,1662,2751,3647,4393,4922,5242,5702,6408,7154,7843,8565,9400,10381,11386,12030,682,1911,3185,4245,5141,5818,6308,6989,7929,8887,9767,10662,11633,12694,13726,14375,710,2025,3450,4689,5769,6630,7307,8180,9303,10431,11450,12436,13452,14530,15566,16215,714,2049,3523,4836,6000,6946,7706,8654,9836,11014,12071,13076,14098,15177,16213,16862,714,2050,3529,4853,6031,6992,7766,8725,9913,11094,12153,13159,14181,15260,16296,16945,6
0,5,35,126,283,470,662,853,1042,1214,1341,1413,1445,1453,1454,1454,1,23,136,406,784,1187,1581,1967,2353,2725,3046,3292,3438,3485,3492,3492,3,52,278,745,1310,1841,2320,2774,3236,3710,4172,4616,4949,5092,5121,5122,4,70,370,966,1624,2194,2688,3149,3622,4122,4659,5280,5830,6121,6191,6195,4,74,393,1024,1703,2279,2774,3236,3715,4243,4875,5693,6469,6915,7028,7035,4,74,394,1027,1708,2286,2787,3267,3790,4417,5227,6274,7259,7820,7961,7970,4,74,394,1028,1717,2322,2876,3446,4110,4933,5970,7228,8361,8979,9130,9140,4,74,394,1034,1761,2470,3186,3956,4845,5908,7163,8560,9753,10386,10539,10549,4,74,395,1047,1838,2701,3623,4609,5713,6993,8442,9955,11192,11835,11989,11999,4,74,395,1052,1876,2831,3884,4995,6212,7618,9226,10903,12253,12938,13099,13109,4,74,395,1053,1883,2860,3947,5089,6332,7774,9464,11302,12832,13622,13809,13821,4,77,407,1071,1904,2884,3975,5121,6369,7823,9564,11547,13287,14236,14469,14484,6,98,482,1196,2059,3062,4177,5353,6644,8162,10015,12191,14160,15281,15566,15585,10,145,660,1524,2506,3615,4838,6136,7581,9286,11349,13753,15932,17189,17512,17534,13,186,832,1888,3073,4390,5822,7329,8987,10909,13178,15758,18061,19376,19712,19735,14,200,903,2079,3427,4930,6549,8228,10038,12092,14460,17101,19436,20761,21098,21121,3
0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,0,0,0,1,7,24,41,46,46,46,46,46,46,46,46,46,0,0,3,19,73,173,264,292,293,293,293,293,293,293,293,293,0,5,32,121,317,595,824,893,897,897,897,897,898,899,900,900,5,39,157,410,796,1240,1581,1682,1688,1688,1690,1697,1715,1738,1758,1766,33,160,447,884,1402,1914,2289,2399,2407,2414,2437,2496,2601,2726,2837,2893,114,409,880,1435,2001,2525,2903,3017,3044,3103,3222,3431,3721,4039,4338,4520,255,745,1349,1951,2526,3051,3430,3560,3661,3871,4177,4573,5034,5524,6033,6384,432,1111,1796,2413,2989,3514,3895,4062,4299,4711,5190,5693,6231,6840,7541,8041,617,1481,2235,2863,3442,3969,4355,4569,4962,5557,6136,6679,7273,8020,8901,9504,790,1852,2722,3406,4022,4583,5000,5274,5803,6539,7198,7808,8517,9437,10466,11124,912,2170,3237,4084,4837,5527,6061,6456,7128,8012,8818,9591,10473,11535,12638,13315,964,2350,3598,4637,5578,6451,7166,7740,8595,9662,10647,11588,12596,13720,14842,15522,975,2400,3720,4855,5902,6876,7700,8383,9353,10528,11599,12605,13650,14786,15910,16590,976,2405,3736,4890,5961,6957,7806,8514,9512,10711,11798,12813,13862,14999,16123,16803,976,2405,3737,4892,5964,6961,7812,8522,9522,10722,11810,12825,13874,15011,16135,16815,6
0,0,0,0,0,3,22,83,198,332,409,427,428,428,428,428,0,0,0,1,7,35,130,343,646,937,1090,1125,1127,1127,1127,1127,0,0,1,9,49,172,431,843,1306,1679,1860,1900,1902,1902,1902,1902,0,1,9,54,199,501,958,1527,2067,2462,2647,2687,2689,2689,2689,2689,0,8,53,205,532,1027,1620,2256,2816,3214,3399,3439,3441,3441,3441,3441,4,42,191,528,1050,1673,2318,2968,3530,3928,4113,4153,4155,4155,4155,4155,20,135,457,1000,1660,2335,2991,3642,4204,4602,4787,4828,4833,4836,4839,4840,64,319,850,1568,2300,2989,3646,4297,4860,5260,5454,5519,5566,5617,5661,5681,150,593,1324,2152,2913,3605,4263,4917,5491,5921,6175,6345,6541,6757,6948,7050,285,936,1833,2719,3488,4181,4846,5529,6171,6718,7137,7503,7904,8333,8740,8995,458,1320,2346,3265,4037,4737,5441,6231,7046,7792,8404,8942,9492,10096,10715,11127,643,1709,2833,3773,4549,5274,6080,7058,8082,8996,9715,10331,10988,11765,12570,13089,826,2100,3341,4329,5133,5916,6884,8079,9276,10285,11067,11772,12584,13543,14477,15044,980,2470,3899,5027,5943,6853,8027,9452,10825,11957,12874,13750,14739,15825,16813,17392,1069,2730,4362,5695,6817,7939,9349,11015,12608,13933,15032,16069,17162,18293,19292,19872,1096,2830,4578,6060,7358,8666,10264,12117,13887,15355,16556,17656,18776,19914,20914,21494,6
0,0,0,0,4,41,159,320,436,481,493,496,497,497,497,497,0,0,0,2,24,144,446,828,1120,1278,1359,1395,1406,1407,1407,1407,0,0,1,14,97,372,895,1484,1928,2246,2495,2650,2714,2728,2730,2730,0,0,7,63,276,763,1506,2246,2769,3197,3630,3981,4181,4247,4258,4259,0,2,31,182,588,1301,2217,3035,3582,4051,4599,5142,5538,5717,5760,5765,0,8,86,387,1012,1917,2932,3777,4328,4806,5401,6078,6682,7040,7160,7180,1,29,202,700,1538,2574,3630,4481,5032,5511,6122,6884,7681,8249,8489,8538,4,74,395,1112,2133,3246,4317,5169,5720,6199,6816,7636,8609,9389,9759,9841,14,154,660,1592,2746,3898,4973,5825,6376,6855,7475,8341,9474,10464,10972,11090,40,293,1011,2147,3393,4563,5639,6491,7042,7521,8144,9049,10326,11520,12166,12321,77,471,1413,2745,4064,5244,6321,7173,7724,8204,8832,9781,11205,12606,13398,13593,110,634,1792,3321,4727,5928,7011,7867,8423,8915,9572,10603,12202,13815,14746,14978,129,742,2087,3829,5388,6676,7817,8726,9340,9907,10675,11878,13699,15521,16568,16828,135,788,2253,4186,5954,7436,8758,9845,10640,11400,12380,13814,15858,17844,18960,19233,136,798,2306,4344,6280,7968,9512,10834,11864,12850,14049,15683,17881,19942,21079,21355,136,799,2314,4379,6381,8184,9878,11381,12592,13729,15054,16778,19030,21109,22249,22525,0
0,0,0,1,15,82,219,343,403,426,433,434,434,434,434,434,0,0,0,7,62,260,606,935,1147,1268,1323,1338,1340,1340,1340,1340,0,0,3,37,190,579,1153,1696,2115,2430,2625,2706,2725,2727,2727,2727,0,2,24,138,465,1075,1836,2510,3082,3602,4008,4239,4316,4328,4329,4329,0,9,84,353,902,1714,2585,3303,3935,4592,5210,5644,5830,5868,5871,5871,1,24,180,645,1420,2387,3310,4037,4683,5411,6203,6857,7203,7291,7299,7299,2,39,279,942,1916,2980,3924,4653,5303,6072,7007,7884,8424,8588,8608,8609,3,57,388,1240,2373,3491,4442,5171,5823,6628,7701,8802,9551,9813,9853,9855,4,75,497,1528,2790,3943,4897,5626,6280,7123,8338,9665,10627,10995,11058,11061,5,95,612,1817,3192,4372,5328,6057,6714,7598,8960,10514,11681,12138,12217,12221,6,116,731,2116,3616,4829,5788,6518,7183,8127,9663,11449,12803,13327,13415,13419,7,139,855,2433,4091,5362,6337,7082,7784,8835,10577,12591,14098,14667,14759,14763,8,161,977,2757,4619,6020,7080,7910,8734,9971,11944,14162,15773,16366,16460,16464,9,175,1061,3007,5083,6697,7961,8996,10039,11512,13706,16072,17735,18336,18430,18434,9,179,1090,3113,5332,7149,8648,9928,11213,12905,15262,17701,19380,19982,20076,20080,9,179,1094,3134,5404,7332,8996,10465,11929,13754,16184,18645,20327,20929,21023,21027,0
0,0,0,1,11,51,116,199,334,463,529,545,546,546,546,546,0,0,0,5,52,212,440,660,950,1269,1485,1558,1568,1569,1569,1569,0,0,1,20,146,492,930,1285,1676,2166,2579,2770,2813,2818,2818,2818,0,0,5,64,327,894,1544,2013,2457,3059,3671,4040,4160,4180,4181,4181,0,1,22,164,618,1417,2248,2793,3259,3924,4712,5293,5549,5605,5609,5609,0,4,63,342,1018,2033,2988,3568,4041,4745,5674,6472,6906,7021,7031,7031,1,16,145,608,1519,2724,3757,4351,4826,5552,6585,7591,8227,8431,8457,8458,2,41,278,953,2093,3451,4530,5129,5605,6341,7446,8644,9496,9825,9882,9885,4,78,450,1349,2703,4171,5275,5876,6352,7093,8254,9630,10705,11187,11286,11292,7,122,643,1771,3331,4888,6008,6610,7086,7834,9057,10616,11916,12552,12694,12703,10,169,847,2207,3971,5612,6746,7349,7826,8590,9901,11660,13182,13956,14134,14145,12,207,1022,2606,4578,6316,7471,8077,8558,9355,10789,12766,14507,15404,15612,15625,13,229,1143,2929,5118,6993,8214,8859,9381,10260,11867,14076,16020,17013,17241,17255,13,237,1205,3142,5545,7628,9021,9808,10473,11533,13365,15801,17904,18952,19188,19202,13,239,1226,3238,5797,8090,9710,10721,11611,12907,14971,17590,19782,20851,21089,21103,13,239,1229,3260,5881,8297,10090,11292,12375,13861,16091,18811,21036,22110,22348,22362,0
0,0,0,0,0,3,24,99,234,360,401,404,404,404,404,404,0,0,0,0,4,28,126,364,704,986,1076,1084,1084,1084,1084,1084,0,0,0,3,31,136,394,840,1360,1739,1854,1864,1864,1864,1864,1864,0,0,1,22,131,405,873,1494,2106,2515,2636,2646,2646,2646,2646,2646,0,0,7,79,343,833,1487,2205,2845,3259,3380,3390,3390,3390,3390,3390,0,2,31,202,665,1359,2130,2884,3530,3945,4067,4078,4078,4078,4078,4078,0,8,88,415,1090,1940,2768,3532,4180,4600,4733,4756,4764,4767,4767,4767,1,28,201,725,1601,2551,3404,4179,4851,5320,5527,5629,5698,5727,5732,5732,4,72,390,1129,2176,3191,4078,4913,5688,6312,6711,7011,7249,7372,7403,7406,10,139,639,1592,2774,3860,4852,5854,6830,7667,8280,8803,9266,9552,9638,9648,20,221,915,2074,3379,4589,5770,6989,8162,9157,9903,10598,11281,11741,11885,11901,30,305,1194,2564,4031,5434,6832,8223,9500,10563,11401,12267,13150,13739,13919,13938,36,371,1439,3038,4727,6359,7945,9435,10769,11913,12897,13955,14988,15639,15831,15851,39,408,1601,3410,5341,7208,8971,10571,12022,13336,14519,15737,16844,17513,17707,17727,40,420,1670,3622,5766,7871,9858,11662,13315,14829,16174,17474,18603,19275,19469,19489,40,422,1686,3695,5968,8253,10432,12423,14240,15875,17285,18606,19739,20411,20605,20625,6
0,0,0,1,15,72,184,327,467,582,653,681,687,687,687,687,0,0,1,11,79,272,556,853,1123,1369,1569,1683,1715,1718,1718,1718,0,0,5,48,230,593,1003,1364,1674,1971,2266,2508,2599,2611,2611,2611,0,1,20,137,478,985,1453,1826,2139,2446,2804,3189,3365,3394,3395,3395,0,3,56,296,801,1397,1885,2260,2574,2888,3304,3836,4116,4170,4173,4173,0,6,108,499,1150,1798,2294,2672,2996,3341,3846,4545,4961,5054,5060,5060,0,9,159,699,1496,2208,2736,3153,3542,4002,4679,5562,6091,6213,6221,6221,0,11,192,845,1799,2639,3281,3828,4381,5046,5934,6962,7545,7676,7685,7685,0,12,203,906,1971,2950,3739,4440,5171,6052,7122,8230,8829,8961,8970,8970,0,12,204,917,2013,3039,3883,4663,5541,6612,7804,8947,9550,9682,9691,9691,0,12,204,918,2016,3046,3904,4751,5788,7020,8279,9433,10037,10169,10178,10178,0,12,204,918,2016,3049,3937,4896,6105,7450,8740,9897,10501,10633,10642,10642,0,12,204,918,2016,3056,4001,5114,6476,7882,9182,10340,10944,11076,11085,11085,0,12,204,918,2017,3072,4099,5378,6855,8291,9594,10752,11356,11488,11497,11497,0,12,204,918,2018,3092,4210,5644,7203,8654,9958,11116,11720,11852,11861,11861,0,12,204,918,2019,3106,4288,5828,7434,8891,10195,11353,11957,12089,12098,12098,9
