dataSize,testAcc,time
202,83.7715,0.74
404,90.4693,1.32
607,89.3488,1.94
809,91.4333,2.66
1012,92.4327,3.32
1214,93.2107,3.78
1416,93.2978,4.35
1619,93.3982,5.08
1821,93.4528,5.69
2024,94.0566,6.10
2226,94.1024,6.93
2429,94.0965,7.49
2631,94.2264,7.98
2833,94.2485,8.57
3036,94.3223,9.00
3238,94.501,9.78
3441,94.6072,10.71
3643,94.7563,11.67
3845,94.5408,11.90
4048,94.5054,11.75
4250,94.9202,12.87
4453,94.9984,13.85
4655,94.8508,14.46
4858,94.9054,15.47
5060,94.6692,15.46
5262,94.5408,16.48
5465,95.0029,16.89
5667,95.2007,17.76
5870,94.8715,18.90
6072,95.0058,18.81
6275,95.1003,20.38
6477,95.2287,21.33
6679,95.1225,22.09
6882,94.9778,22.19
7084,95.3277,22.68
7287,95.3217,23.68
7489,95.245,24.71
7691,95.2775,24.96
7894,95.1756,26.78
8096,95.2671,27.14
8299,95.2893,27.49
8501,95.4192,28.81
8704,95.3468,29.72
8906,95.3926,29.83
9108,95.3705,30.78
9311,95.4812,31.91
9513,95.4472,31.71
9716,95.2834,32.58
9918,95.3439,33.86
10121,95.5329,36.94
10323,95.5447,35.05
10525,95.524,36.11
10728,95.3764,38.85
10930,95.3882,38.54
11133,95.6214,38.92
11335,95.62,40.49
11537,95.5609,41.65
11740,95.5078,40.41
11942,95.6436,43.03
12145,95.682,45.36
12347,95.6716,44.99
12550,95.6805,47.28
12752,95.7115,47.96
12954,95.6524,48.88
13157,95.6524,46.05
13359,95.7351,51.29
13562,95.6893,52.93
13764,95.7041,51.45
13966,95.7425,53.62
14169,95.8252,54.14
14371,95.7779,55.38
14574,95.775,56.32
14776,95.7218,57.04
14979,95.6746,58.70
15181,95.7085,59.35
15383,95.7779,59.24
15586,95.7868,61.84
