dataSize,testAcc,time
202,82.93300,11.37
404,84.608600,26.86
607,86.233900,56.33
809,85.534200,71.18
1012,87.25700,102.44
1214,87.524200,118.22
1416,87.589100,142.60
1619,87.980300,168.44
1821,88.718500,220.14
2024,88.824800,249.30
2226,88.646100,300.31
2429,88.978300,365.68
2631,87.902100,398.00
2833,88.938400,448.98
3036,88.849900,474.00
3238,88.833600,517.78
3441,88.935500,549.58
3643,88.473400,580.57
3845,88.805600,617.14
4048,89.24400,681.71
4250,88.746500,681.55
4453,89.298600,719.55
4655,89.384300,749.83
4858,88.997500,773.06
5060,89.345900,816.17
5262,89.642600,866.27
5465,89.729700,880.68
5667,89.199700,918.27
