dataSize,testAcc,time
202,81.855400,10.28
404,82.222900,24.47
607,86.009500,47.42
809,86.35500,66.40
1012,85.664100,92.63
1214,87.739700,116.82
1416,87.014900,140.08
1619,88.743600,167.13
1821,89.050600,195.49
2024,89.078700,257.41
2226,88.544300,318.62
2429,88.337600,364.91
2631,88.25200,413.00
2833,88.818800,441.37
3036,88.917800,493.67
3238,89.105200,547.47
3441,88.990100,566.35
3643,89.174600,562.86
3845,89.035900,611.62
4048,88.727300,629.36
4250,89.323700,716.57
4453,89.12300,734.52
4655,89.236600,761.76
4858,88.873500,736.21
5060,89.623400,807.24
5262,88.715500,844.51
5465,89.629300,889.01
5667,89.424100,933.39
5870,89.329600,953.27
6072,89.235200,1241.67
6275,89.667700,1066.68
6477,89.267600,1055.53
6679,89.124400,1087.24
6882,90.275900,1050.92
7084,89.353300,1231.76
7287,89.15400,1226.11
7489,89.353300,1344.12
7691,89.778400,1248.70
7894,88.945800,1243.19
8096,89.545200,1358.12
8299,89.326700,1356.89
8501,89.890600,1725.62
8704,89.86400,1382.56
8906,89.714900,1480.95
9108,89.489100,1567.53
9311,89.559900,1572.33
9513,89.365100,1555.02
9716,89.548100,1617.05
9918,89.443300,1780.33
10121,89.515600,1677.84
10323,89.586500,1697.92
10525,89.55400,1719.90
10728,90.126800,1750.30
10930,89.759200,1863.86
11133,89.472800,1873.19
11335,89.961500,1992.81
11537,89.669200,1908.36
11740,89.497900,1943.13
11942,89.796100,1932.11
12145,89.400500,1971.04
12347,89.859600,2139.07
12550,89.657400,1996.60
12752,89.685400,2038.22
12954,89.868500,2106.15
13157,89.543700,2364.31
13359,89.781400,2211.53
13562,89.530400,2288.53
13764,89.713500,2230.37
13966,89.717900,2210.50
14169,89.725300,2378.16
14371,89.762200,2489.13
14574,89.568800,2311.58
14776,89.890600,2477.01
14979,89.497900,2606.71
15181,89.912800,2689.54
15383,89.486100,2611.51
15586,90.131200,2681.76
15788,89.853700,2636.40
15991,89.462500,2860.90
16193,89.819700,2895.86
16396,89.480200,2240.49
16598,89.986600,2366.09
16800,89.7400,2206.24
17003,89.70900,2137.33
17205,89.809400,2253.17
17408,89.915700,2228.12
17610,89.555500,2322.26
17812,89.872900,2369.41
18015,89.605700,2535.22
18217,89.909800,2763.57
18420,89.821200,3639.76
18622,89.871400,3638.88
18825,89.725300,3781.89
19027,89.77100,3763.03
19229,89.511200,4070.08
19432,89.890600,3592.95
19634,90.098800,3456.15
19837,89.965900,2801.80
