dataSize,testAcc,time
202,90.3763,0.04
404,91.8481,0.05
607,92.3309,0.10
809,93.2963,0.12
1012,93.4838,0.12
1214,93.7436,0.11
1416,94.2544,0.13
1619,94.0699,0.14
1821,94.4035,0.18
2024,94.6043,0.18
2226,94.6471,0.17
2429,94.8124,0.18
2631,94.7298,0.19
2833,94.8789,0.21
3036,95.1121,0.20
3238,94.8553,0.21
3441,94.9187,0.22
3643,94.9837,0.24
3845,95.0221,0.25
4048,94.5511,0.36
4250,95.0752,0.31
4453,95.2848,0.29
4655,95.2568,0.28
4858,95.2952,0.28
5060,95.3719,0.32
5262,95.3601,0.34
5465,95.0752,0.40
5667,95.3513,0.38
