dataSize,testAcc,time
202,88.4321,0.04
404,91.7315,0.05
607,92.0208,0.06
809,92.9007,0.08
1012,93.8381,0.13
1214,94.061,0.13
1416,94.0005,0.11
1619,94.3017,0.13
1821,94.309,0.15
2024,94.3002,0.22
2226,94.5792,0.17
2429,94.5954,0.20
2631,94.87,0.26
2833,94.3459,0.32
3036,94.7726,0.27
3238,94.9807,0.23
3441,94.9866,0.25
3643,94.9424,0.28
3845,95.0235,0.27
4048,95.2332,0.31
4250,95.2657,0.28
4453,95.3144,0.27
4655,95.1195,0.34
4858,95.3409,0.28
5060,95.2657,0.31
5262,95.4458,0.33
5465,95.5284,0.34
5667,95.6067,0.33
5870,95.5668,0.39
6072,95.4812,0.40
6275,95.4989,0.41
6477,95.5417,0.42
6679,95.5491,0.43
6882,95.7144,0.40
7084,95.5491,0.45
7287,95.6805,0.47
7489,95.6716,0.45
7691,95.7572,0.43
7894,95.8001,0.59
8096,95.4221,0.55
8299,95.7823,0.61
8501,95.7543,0.59
8704,95.7499,0.58
8906,95.6982,0.69
9108,95.7189,0.74
9311,95.8148,0.62
9513,95.7779,0.71
9716,95.589,0.80
9918,95.7189,0.75
10121,95.7912,0.73
10323,95.7558,0.80
10525,95.9004,0.69
10728,95.8621,0.80
10930,95.8517,0.76
11133,95.8798,0.73
11335,95.9344,0.71
11537,95.9418,0.72
11740,95.8562,0.72
11942,95.8384,0.73
12145,95.9949,0.72
12347,95.8355,0.75
12550,95.8266,0.75
12752,95.8207,0.77
12954,95.9182,0.78
13157,95.8591,0.81
13359,95.9595,0.80
13562,95.9757,0.80
13764,96.0053,0.83
13966,95.9344,0.82
14169,95.6834,0.87
14371,95.9861,0.86
14574,95.9728,0.89
14776,95.8975,1.01
14979,96.0451,0.86
15181,96.0525,0.99
15383,96.054,0.91
15586,95.9447,1.06
15788,96.0997,0.92
15991,96.0628,1.14
16193,96.1544,1.02
16396,96.1145,0.98
16598,96.0673,1.04
16800,96.0274,1.11
17003,96.0909,1.19
17205,95.8739,1.06
17408,96.1322,1.21
17610,96.1278,1.28
17812,96.0554,1.15
18015,96.1056,1.02
18217,96.1972,1.03
18420,96.1588,1.59
18622,95.9285,1.69
18825,96.0894,1.76
19027,96.147,1.94
19229,96.1307,1.73
19432,96.2134,1.76
19634,95.961,1.96
19837,96.1529,1.56
20039,96.1603,1.52
